event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
6,1,0,0.000,0.000,0.000,0.165,-0.874,0.456,0.000,0.000,0.000,50.000,0.000
6,1,1,0.000,-0.001,0.001,0.003,-0.841,0.541,10.633,0.002,0.002,49.983,0.017
6,1,2,0.001,-0.133,0.086,0.077,-0.944,0.322,10.009,0.332,0.334,43.788,6.196
6,1,3,0.010,-0.252,0.126,-0.658,0.484,0.578,105.528,0.269,0.603,38.673,5.114
6,1,4,-0.058,-0.202,0.186,-0.572,0.639,0.514,114.737,0.221,0.824,33.457,5.216
6,1,5,-0.105,-0.150,0.228,-0.429,-0.903,0.025,43.063,0.176,1.000,31.666,1.791
6,1,6,-0.137,-0.218,0.230,-0.824,-0.521,-0.226,77.485,0.162,1.162,28.025,3.641
6,1,7,-0.188,-0.250,0.216,0.114,-0.396,-0.911,92.880,0.135,1.297,22.206,5.820
6,1,8,-0.183,-0.267,0.177,0.354,0.644,-0.679,144.528,0.096,1.392,19.137,3.069
6,1,9,-0.171,-0.245,0.154,-0.169,-0.348,-0.922,98.304,0.078,1.470,18.272,0.864
6,1,10,-0.176,-0.256,0.124,0.697,-0.116,-0.708,96.139,0.073,1.543,15.293,2.979
6,1,11,-0.159,-0.259,0.107,0.589,0.151,0.794,70.887,0.058,1.601,13.825,1.468
6,1,12,-0.147,-0.256,0.124,0.417,0.579,0.700,96.795,0.051,1.653,11.958,1.867
6,1,13,-0.140,-0.246,0.136,-0.927,-0.365,-0.089,82.760,0.044,1.696,8.902,3.056
6,1,14,-0.150,-0.250,0.135,-0.317,-0.263,0.911,53.585,0.032,1.729,8.127,0.775
6,1,15,-0.153,-0.253,0.143,0.896,0.304,-0.324,105.437,0.030,1.758,6.277,1.851
6,1,16,-0.147,-0.251,0.141,-0.947,0.312,0.079,113.082,0.024,1.782,2.988,3.289
6,1,17,-0.149,-0.250,0.141,-0.115,-0.877,-0.467,57.680,0.014,1.796,1.655,1.333
6,1,18,-0.149,-0.251,0.141,-0.115,-0.877,-0.467,57.680,0.006,1.803,0.000,1.655
7,1,0,0.000,0.000,0.000,-0.469,-0.585,-0.662,0.000,0.000,0.000,50.000,0.000
7,1,2,-0.074,-0.093,-0.105,0.799,-0.160,-0.580,84.123,0.332,0.334,44.876,5.124
7,1,3,0.031,-0.114,-0.181,-0.751,0.626,0.209,98.779,0.280,0.614,39.876,5.000
7,1,4,-0.051,-0.046,-0.158,0.426,0.233,0.874,156.160,0.232,0.846,34.984,4.892
7,1,5,-0.013,-0.025,-0.081,0.280,-0.960,0.021,65.382,0.189,1.034,31.740,3.244
7,1,6,0.008,-0.097,-0.080,-0.383,-0.225,-0.896,25.286,0.162,1.197,27.157,4.584
7,1,7,-0.015,-0.111,-0.133,0.227,-0.568,0.791,107.309,0.128,1.325,22.494,4.662
7,1,8,-0.005,-0.135,-0.098,-0.705,0.301,-0.642,54.566,0.098,1.423,20.386,2.109
7,1,9,-0.031,-0.124,-0.122,0.143,-0.186,-0.972,46.739,0.085,1.508,18.070,2.316
7,1,10,-0.027,-0.130,-0.152,0.523,0.846,0.106,144.074,0.072,1.580,17.253,0.817
7,1,11,-0.012,-0.105,-0.149,-0.647,-0.686,0.334,61.097,0.068,1.648,11.395,5.858
7,1,12,-0.022,-0.116,-0.144,0.956,0.141,0.256,134.434,0.041,1.689,9.885,1.510
7,1,13,-0.010,-0.114,-0.141,-0.241,-0.736,0.632,82.806,0.036,1.725,9.102,0.783
7,1,14,-0.012,-0.123,-0.134,-0.298,0.440,-0.847,63.721,0.033,1.758,7.451,1.651
7,1,15,-0.015,-0.119,-0.141,-0.207,0.423,0.882,137.216,0.028,1.785,5.174,2.277
7,1,16,-0.016,-0.117,-0.137,-0.823,0.400,0.403,96.567,0.021,1.806,3.413,1.761
7,1,17,-0.018,-0.116,-0.135,-0.832,-0.535,0.148,52.798,0.015,1.822,1.619,1.794
7,1,18,-0.019,-0.116,-0.135,-0.832,-0.535,0.148,52.798,0.006,1.828,0.000,1.619
8,1,0,0.000,0.000,0.000,0.126,0.880,-0.457,0.000,0.000,0.000,50.000,0.000
8,1,2,0.014,0.138,-0.077,0.316,-0.735,-0.600,109.446,0.332,0.334,44.959,5.041
8,1,3,0.055,0.041,-0.156,-0.173,-0.104,-0.979,70.471,0.281,0.615,42.504,2.455
